عنوان_H1,قاره_یا_منطقه,کشور_مقصد,جهت_در_منطقه,شهر_یا_جزیره_مقصد,شهر_یا_استان_مبدا,نوع_تور,فصل_برگزاری,ماه_تقویمی_برگزاری,تعطیلات_خاص_تقویمی,رویداد_یا_مناسبت_خاص,تم_یا_هدف_سفر,نوع_وسیله_نقلیه,نام_دقیق_هتل,تعداد_ستاره_هتل,برچسب_کلاسی_تور,پرسونای_مخاطب,وضعیت_ویزا,نوع_سفر
تور مشهد هتل درویشی,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,زیارتی,هوایی، زمینی، ریلی,هتل درویشی,null,null,null,بدون ویزا,زیارتی، تفریحی
تور استانبول زمینی,اوراسیا,ترکیه,قفقاز و آناتولی,استانبول,null,تک مقصد,null,null,null,null,null,زمینی,null,null,null,null,بدون ویزا,تفریحی، خرید، تاریخی-فرهنگی
تور مشهد هتل قصر طلایی,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,زیارتی,هوایی، زمینی، ریلی,هتل قصر طلایی,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد با قطار 6 تخته,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,زیارتی,ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد با قطار زندگی,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,زیارتی,ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد هتل مدینه‌الرضا,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,زیارتی,هوایی، زمینی، ریلی,هتل مدینه‌الرضا,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد از اصفهان,آسیا,ایران,شرق کشور,مشهد,اصفهان,تک مقصد,null,null,null,null,زیارتی,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور آنتالیا,اوراسیا,ترکیه,مدیترانه,آنتالیا,null,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن
تور مشهد بهار 1405,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,بهار,null,null,null,زیارتی,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور,null,null,null,null,null,null,null,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,null,تفریحی
تور قشم از مشهد,آسیا,ایران,جنوب کشور,قشم,مشهد,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,طبیعت‌گردی، خرید، تفریحی
تور روسیه,اوراسیا,روسیه,اروپای مرکزی و شرقی,null,null,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,تاریخی-فرهنگی، تفریحی
تور تبریز از مشهد,آسیا,ایران,شمال کشور,تبریز,مشهد,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور گوا,آسیا,هند,جنوب آسیا,گوا,null,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,نیازمند ویزا,استراحت و ریلکسیشن، تفریحی
تور شیراز با قطار,آسیا,ایران,جنوب کشور,شیراز,null,تک مقصد,null,null,null,null,null,ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور اصفهان,آسیا,ایران,غرب کشور,اصفهان,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تورهای لوکس شیراز,آسیا,ایران,جنوب کشور,شیراز,null,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,null,null,لوکس,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور کیش,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور شیراز بهار 1405,آسیا,ایران,جنوب کشور,شیراز,null,تک مقصد,بهار,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,تاریخی-فرهنگی، تفریحی
تور قشم با قطار,آسیا,ایران,جنوب کشور,قشم,null,تک مقصد,null,null,null,null,null,ریلی,null,null,null,null,بدون ویزا,طبیعت‌گردی، خرید، تفریحی
تور لحظه آخری کیش,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,null,null,لحظه آخری,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور ارزان کیش,آسیا,ایران,جنوب کشور,کیش,null,تک مقصد,null,null,null,null,null,هوایی,null,null,ارزان,null,بدون ویزا,تفریحی، استراحت و ریلکسیشن، خرید
تور قشم از شیراز,آسیا,ایران,جنوب کشور,قشم,شیراز,تک مقصد,null,null,null,null,null,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,طبیعت‌گردی، خرید، تفریحی
تور مشهد قطار بن ریل,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,زیارتی,ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تورهای هوایی مشهد,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,زیارتی,هوایی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد از کرج,آسیا,ایران,شرق کشور,مشهد,کرج,تک مقصد,null,null,null,null,زیارتی,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور لحظه آخری مشهد,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,زیارتی,هوایی، زمینی، ریلی,null,null,لحظه آخری,null,بدون ویزا,زیارتی، تفریحی
تور مالزی,آسیا,مالزی,جنوب شرق آسیا,null,null,تک مقصد,null,null,null,null,null,هوایی,null,null,null,null,بدون ویزا,طبیعت‌گردی، تفریحی
تور مشهد از اهواز,آسیا,ایران,شرق کشور,مشهد,اهواز,تک مقصد,null,null,null,null,زیارتی,هوایی، زمینی، ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور مشهد با قطار نور,آسیا,ایران,شرق کشور,مشهد,null,تک مقصد,null,null,null,null,زیارتی,ریلی,null,null,null,null,بدون ویزا,زیارتی، تفریحی
تور خارجی,null,null,null,null,null,null,null,null,null,null,null,هوایی، زمینی,null,null,null,null,null,تفریحی
